2014-05,02,02번(남산서울타워~동대입구),남산산책로입구,2484,1098,2014-06-21 17:25:44
2014-05,02,02번(남산서울타워~동대입구),서울애니매이션센터,2414,1733,2014-06-21 17:25:44
2014-05,02,02번(남산서울타워~동대입구),퇴계로3가.한옥마을.한국의집,4943,8137,2014-06-21 17:25:44
2014-05,02,02번(남산서울타워~동대입구),충무로역2번출구.대한극장앞,13511,5337,2014-06-21 17:25:44
2014-05,02,02번(남산서울타워~동대입구),퇴계로5가,1015,1239,2014-06-21 17:25:44
2014-05,02,02번(남산서울타워~동대입구),동대입구역장충동,7650,3830,2014-06-21 17:25:44
2014-05,02,02번(남산서울타워~동대입구),국립극장,3870,4243,2014-06-21 17:25:44
2014-05,02,02번(남산서울타워~동대입구),남산북측순환로입구,1413,1592,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),남산서울타워,25833,657,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),남산도서관,1547,1430,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),남산서울타워,76,19394,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),남산북측순환로입구,1664,1209,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),국립극장,4126,2493,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),동대입구역장충동,8332,1870,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),약수역7번출구.약수동주민센터,1427,1634,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),송도병원,287,1008,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),버티고개,921,1320,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),한강진역.블루스퀘어,1032,1098,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),한남2동주민센터앞,869,822,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),이태원119안전센터,2102,1151,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),해밀턴호텔,3340,2710,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),이태원.용산구청,1683,3782,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),해방촌.중앙경리단,1771,762,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),용산.한신아파트,1680,966,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),남산3호터널,2472,535,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),남대문시장,2430,1785,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),서울역.서울스퀘어,3249,11340,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),남대문경찰서,375,3378,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),후암삼거리,322,628,2014-06-21 17:25:44
2014-05,03,03번(남산서울타워~남산서울타워),백범광장,244,297,2014-06-21 17:25:44
2014-05,05,05번(남산서울타워~남산서울타워),국립극장,3390,2780,2014-06-21 17:25:44
2014-05,05,05번(남산서울타워~남산서울타워),남산서울타워,92,20301,2014-06-21 17:25:44
2014-05,05,05번(남산서울타워~남산서울타워),약수역2번출구.중구구립도서관,1793,1632,2014-06-21 17:25:44
2014-05,05,05번(남산서울타워~남산서울타워),신당동.청구역,2111,2240,2014-06-21 17:25:44
2014-05,05,05번(남산서울타워~남산서울타워),신당동떡볶이타운,2667,1841,2014-06-21 17:25:44
2014-05,05,05번(남산서울타워~남산서울타워),충무아트홀.중부소방서,1182,2541,2014-06-21 17:25:44
2014-05,05,05번(남산서울타워~남산서울타워),광희동사거리,557,1025,2014-06-21 17:25:44
