Feb-90,108,64.8
Mar-90,108,92.3
Apr-90,108,94.2
May-90,108,122.8
Jun-90,108,497.2
Jul-90,108,486.5
Aug-90,108,283.5
Sep-90,108,570.1
Oct-90,108,0
Nov-90,108,56
Dec-90,108,25.9
Jan-91,108,14.4
Feb-91,108,28.4
Mar-91,108,65.5
Apr-91,108,48.5
May-91,108,83.2
Jun-91,108,81.8
Jul-91,108,487.8
Aug-91,108,68.2
Sep-91,108,175.2
Oct-91,108,27.3
Nov-91,108,35
Dec-91,108,42.9
Jan-92,108,13.6
Feb-92,108,46.6
Mar-92,108,11.2
Apr-92,108,76.5
May-92,108,155.5
Jun-92,108,99.6
Jul-92,108,270.1
Aug-92,108,418.8
Sep-92,108,168.5
Oct-92,108,33.6
Nov-92,108,89.5
Dec-92,108,71.4
Jan-93,108,2.2
Feb-93,108,69.5
Mar-93,108,29.2
Apr-93,108,85.5
May-93,108,135.7
Jun-93,108,198.2
Jul-93,108,424.4
Aug-93,108,197.8
Sep-93,108,56.1
Oct-93,108,15.4
Nov-93,108,66.6
Dec-93,108,12.1
Jan-94,108,6.5
Feb-94,108,14.8
Mar-94,108,31.7
Apr-94,108,44.9
May-94,108,152.4
Jun-94,108,85
Jul-94,108,139.5
Aug-94,108,232.7
Sep-94,108,60.7
Oct-94,108,214.5
Nov-94,108,49.6
Dec-94,108,23.5
Jan-95,108,11.6
Feb-95,108,5.2
Mar-95,108,60.6
Apr-95,108,44.4
May-95,108,60.6
Jun-95,108,70.7
Jul-95,108,436.1
Aug-95,108,786.6
Sep-95,108,47.2
Oct-95,108,39.3
Nov-95,108,32.9
Dec-95,108,3.4
Jan-96,108,16.3
Feb-96,108,1
Mar-96,108,77.9
Apr-96,108,62
May-96,108,29.3
Jun-96,108,249.7
Jul-96,108,512.8
Aug-96,108,132.4
Sep-96,108,11
Oct-96,108,90.3
Nov-96,108,62.9
Dec-96,108,11
Jan-97,108,16.8
Feb-97,108,39.6
Mar-97,108,25.3
Apr-97,108,56.1
May-97,108,291.3
Jun-97,108,110
Jul-97,108,299.6
Aug-97,108,117.2
Sep-97,108,76.9
Oct-97,108,45.5
Nov-97,108,93.8
